"position.x","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_fum_rec","dst_fum_rec_sd","dst_sacks","dst_sacks_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","first_name","last_name","team","position.y","age","exp"
"TE","17607","robust",NA,NA,NA,NA,NA,NA,0,0,0,0,0.5,0.37065,21.375,1.85325,237.25,4.4478,1.425,0.7413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eli","Raridon","NEP","TE",22,-6
"TE","17607","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0.502645502645503,0.411256778182097,21.3280423280423,1.94179819702831,225.566137566138,26.2876114591495,1.39753086419753,0.671322848252619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eli","Raridon","NEP","TE",22,-6
"TE","15796","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,22.8333333333333,3.61708906903512,170.333333333333,22.3681320930768,1.16666666666667,0.763762615825973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeremy","Ruckert","NYJ","TE",26,-2
"TE","15796","robust",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,22.375,0.7413,167.75,7.413,1.125,0.7413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeremy","Ruckert","NYJ","TE",26,-2
"TE","15796","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,22.9487804878049,3.68310722710131,171,22.8105610976572,1.18048780487805,0.782981064687286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeremy","Ruckert","NYJ","TE",26,-2
"TE","15332","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23.86,5.66550968580939,225.6,56.5711940832081,2,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tommy","Tremble","CAR","TE",26,-1
"TE","15332","robust",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23,1.4826,212,14.826,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tommy","Tremble","CAR","TE",26,-1
"TE","15332","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23.733426183844,5.71867832190145,224.692200557103,56.8472078501988,1.97910863509749,0.721689098435341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tommy","Tremble","CAR","TE",26,-1
"TE","15800","average",NA,NA,NA,NA,NA,NA,33.5,2.5,1.05321087216249,0.0503083402641298,0,0,11.7,2.04205778566621,94,8.54400374531753,1.16666666666667,0.763762615825973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connor","Heyward","LVR","TE",27,-2
"TE","15800","robust",NA,NA,NA,NA,NA,NA,33.5,3.7065,1.05481630824373,0.0598486827956994,0,0,11.525,1.33434,94.25,10.3782,1.125,0.7413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connor","Heyward","LVR","TE",27,-2
