avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,16596,RB,66.3,4.00302,FALSE,0.850000000000009,54.02,101.22,-134.75,-125.94,-127.36,374,350,336,58,21,-107.4,191,Braelon,Allen,NYJ,RB,22,-4,167.62,55.56,5.85,180.39,ADP.tsv,153.258,24.4980,ADP.tsv,16.5673116708777,220.742,2.0195,1.94721358612762,21132,180.39,110,251,321
robust,17477,RB,65.45,21.20118,FALSE,1.525,28.84,80.62,-135.6,-151.12,-147.96,376,419,396,59,21,-108.25,192,Jonah,Coleman,DEN,RB,23,-6,141.52,48.06,5.33,135.05,ADP.tsv,137.626,15.9687,ADP.tsv,8.31028663765577,238.374,3.3155,2.56309202917102,22941,135.05,89,181,324
robust,15738,RB,63.925,12.97275,FALSE,0.0250000000000057,50.24,86.025,-137.125,-129.72,-142.555,381,370,387,60,21,-109.775,195,Malik,Davis,DAL,RB,28,-2,215.13,66.5,10.89,231.86,ADP.tsv,200.94,40.7998,ADP.tsv,NA,180.06,2.30933333333333,2.59114663592952,20100,231.86,121,350,254
robust,17482,RB,63.9,10.3782,FALSE,0.0499999999999901,55.62,112.34,-137.15,-124.34,-116.24,382,348,300,61,21,-109.8,196,Mike,Washington Jr.,LVR,RB,23,-6,143.52,48.7,6.66,125.33,ADP.tsv,129.696,32.9361,ADP.tsv,13.9493664372257,252.304,4.78,3.14136912826239,22955,125.33,1,191,328
robust,14080,RB,63.85,0.889559999999991,FALSE,2.22500000000001,26.26,78.64,-137.2,-153.7,-149.94,383,430,399,62,21,-109.85,197,Devin,Singletary,NYG,RB,29,1,287.56,85.3,6.54,284.63,ADP.tsv,192.81,48.3139,ADP.tsv,11.47,190.19,2.04,0.84,17034,284.63,123,359,77
robust,16603,RB,61.625,11.1195,FALSE,0.0249999999999986,34.555,74.325,-139.425,-145.405,-154.255,386,406,408,63,21,-112.075,200,Ray,Davis,BUF,RB,27,-4,184.33,59.44,5.81,180.78,ADP.tsv,160.593333333333,21.5514,ADP.tsv,26.2469380224733,225.406666666667,1.732,1.77304032667055,21151,180.78,116,240,320
robust,15254,RB,61.6,6.22692000000001,FALSE,2.2,50.36,68.2,-139.45,-129.6,-160.38,387,368,422,64,21,-112.1,201,Najee,Harris,NYG,RB,28,-1,224.53,69.17,11.64,216.04,ADP.tsv,178.61,38.2574,ADP.tsv,1.33,208.39,2.26533333333333,2.32814737983278,18826,216.04,133,352,305
robust,16757,RB,59.4,21.4977,FALSE,3.2928571660247,34.6,85.06,-141.65,-145.36,-143.52,392,405,389,65,22,-114.3,204,Kimani,Vidal,LAC,RB,25,-4,195.57,62.22,6.93,195.11,ADP.tsv,179.89,23.4867,ADP.tsv,6.79000000000001,212.11,1.99733333333333,2.15654373683654,21169,195.11,119,254,317
robust,13146,RB,56.1071428339753,17.1875700343482,FALSE,0.832142833975304,33.96,78.34,-144.942857166025,-146,-150.24,401,408,400,66,22,-117.592857166025,212,James,Conner,ARI,RB,31,3,224.2,68.64,9.05,266.88,ADP.tsv,179.12,38.9561,ADP.tsv,NA,221.88,2.16533333333333,2.39025874935934,15306,266.88,147,352,143
robust,17485,RB,55.275,9.56277,FALSE,0.850000000000009,39.94,100.41,-145.775,-140.02,-128.17,403,393,337,67,22,-118.425,215,Kaelon,Black,SFO,RB,25,-6,207.92,65.62,12.51,175.56,ADP.tsv,148.604,38.9316,ADP.tsv,10.8314368391271,254.396,2.359,2.13691436421772,23064,175.56,85,309,320
