"player","pos","team","games","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_att","rush_yds","rush_tds","rec_rz_tgt","rec_09_tds","rec_1019_tds","rec_2029_tds","rec_3039_tds","rec_4049_tds","rec_50_tds","rush_50_yds","rush_100_yds","rec_150_yds","rec_200_yds","return_yds","scoring_opp","bye"
"Trey McBride","TE","ARI",17,153,115,1135,66.8,9.9,8,0,152,8.9,"2963385","CBS","15794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colston Loveland","TE","CHI",17,126,84,1036,60.9,12.3,8,0,143,8.4,"28874696","CBS","17104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Bowers","TE","LV",17,119,88,982,57.8,11.2,9,0,143,8.4,"26693971","CBS","16641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harold Fannin Jr.","TE","CLE",17,129,87,877,51.6,10.1,9,1,138,8.1,"28900882","CBS","17103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas Goedert","TE","PHI",17,92,68,720,42.4,10.6,11,0,136,8,"2132551","CBS","13674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kittle","TE","SF",17,95,77,906,53.3,11.8,8,0,131,7.7,"2818265","CBS","13299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker Kraft","TE","GB",17,75,55,782,46,14.2,10,0,130,7.6,"3133332","CBS","16222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Warren","TE","IND",17,109,74,904,53.2,12.2,6,0,125,7.4,"3168800","CBS","17102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Likely","TE","NYG",17,99,72,895,52.6,12.4,7,2,119,7,"2961906","CBS","15798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam LaPorta","TE","DET",17,92,72,910,53.5,12.6,6,0,119,7,"3124197","CBS","16214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Andrews","TE","BAL",17,84,60,593,34.9,9.9,10,0,117,6.9,"2131121","CBS","13671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Kincaid","TE","BUF",17,81,59,776,45.6,13.2,7,0,111,6.5,"2982991","CBS","16213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Pitts","TE","ATL",17,103,74,822,48.4,11.1,6,0,109,6.4,"2964514","CBS","15329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE","KC",17,110,78,813,47.8,10.4,6,0,108,6.4,"1725130","CBS","11244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brenton Strange","TE","JAC",17,95,70,814,47.9,11.6,5,0,102,6,"3121696","CBS","16269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juwan Johnson","TE","NO",17,95,72,878,51.6,12.2,4,2,100,5.9,"2186637","CBS","14861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Henry","TE","NE",17,84,57,702,41.3,12.3,6,0,99,5.8,"2079848","CBS","12676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Ferguson","TE","DAL",17,100,78,634,37.3,8.1,7,2,93,5.5,"2867159","CBS","15799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Otton","TE","TB",17,94,67,706,41.5,10.5,4,0,87,5.1,"2815179","CBS","15802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJ Barner","TE","SEA",17,60,46,470,27.6,10.2,7,0,86,5.1,"3169283","CBS","16723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Schultz","TE","HOU",17,95,71,691,40.6,9.7,4,0,85,5,"2136748","CBS","13772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenyon Sadiq","TE","NYJ",17,70,47,528,31.1,11.2,6,1,80,4.7,"29125433","CBS","17543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Dulcich","TE","MIA",17,78,59,675,39.7,11.4,4,2,78,4.6,"2964274","CBS","15797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrance Ferguson","TE","LAR",17,58,29,529,31.1,18.2,5,0,76,4.5,"26701481","CBS","17107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Freiermuth","TE","PIT",17,60,46,510,30,11.1,5,0,74,4.4,"2961270","CBS","15331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren Waller","TE","CAR",17,65,46,469,27.6,10.2,6,0,74,4.4,"1850793","CBS","12263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chigoziem Okonkwo","TE","WAS",17,73,53,628,36.9,11.9,3,0,71,4.2,"2965208","CBS","15889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colby Parkinson","TE","LAR",17,58,41,434,25.5,10.6,6,1,69,4.1,"2867522","CBS","14871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Njoku","TE","LAC",17,62,42,403,23.7,9.6,6,0,68,4,"2136474","CBS","13192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Hockenson","TE","MIN",17,73,55,518,30.5,9.4,4,0,68,4,"2251097","CBS","14138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Higbee","TE","LAR",17,58,40,499,29.4,12.5,4,0,65,3.8,"1853103","CBS","12678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Gesicki","TE","CIN",17,69,49,541,31.8,11,3,0,64,3.8,"2139298","CBS","13672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason Taylor","TE","NYJ",17,83,56,461,27.1,8.2,4,0,62,3.6,"28878064","CBS","17106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oronde Gadsden II","TE","LAC",17,53,38,534,31.4,14.1,3,1,62,3.6,"26727374","CBS","17099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Theo Johnson","TE","NYG",17,56,35,389,22.9,11.1,5,0,60,3.5,"3162129","CBS","16649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Engram","TE","DEN",17,84,56,479,28.2,8.6,3,0,57,3.4,"2079887","CBS","13189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawson Knox","TE","BUF",17,48,35,400,23.5,11.4,3,0,50,2.9,"2186345","CBS","14143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Kolar","TE","LAC",17,36,25,332,19.5,13.3,4,0,48,2.8,"2866273","CBS","15795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gunnar Helm","TE","TEN",17,55,44,377,22.2,8.6,3,0,48,2.8,"26696189","CBS","17105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Wright","TE","DET",17,51,34,303,17.8,8.9,4,0,45,2.6,"2807423","CBS","15626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonnu Smith","TE","GB",17,38,28,253,14.9,9,3,0,43,2.5,"2081506","CBS","13193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Bellinger","TE","TEN",17,35,26,332,19.5,12.8,3,0,42,2.5,"2963615","CBS","15873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Fant","TE","NO",17,55,44,427,25.1,9.7,2,3,41,2.4,"2251095","CBS","14137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darnell Washington","TE","PIT",17,49,35,383,22.5,10.9,2,1,40,2.4,"3163963","CBS","16216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Oliver","TE","MIN",17,28,22,244,14.4,11.1,4,0,40,2.4,"2184618","CBS","14209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Kacmarek","TE","MIA",17,52,35,328,19.3,9.4,3,1,40,2.4,"26717403","CBS","17605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Mayer","TE","LV",17,58,40,346,20.4,8.7,2,0,39,2.3,"3171673","CBS","16212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marlin Klein","TE","HOU",17,51,35,353,20.8,10.1,2,1,37,2.2,"28927889","CBS","17593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Stowers","TE","PHI",17,45,31,323,19,10.4,2,1,34,2,"26696120","CBS","17544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis Allen","TE","LAR",17,38,26,240,14.1,9.2,3,0,34,2,"3123267","CBS","16219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick All","TE","CIN",17,43,36,302,17.8,8.4,2,0,33,1.9,"3121555","CBS","16645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Trautman","TE","DEN",17,36,27,282,16.6,10.4,2,0,31,1.8,"2182228","CBS","14870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cole Kmet","TE","CHI",17,32,22,229,13.5,10.4,2,0,27,1.6,"2868619","CBS","14867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Boerkircher","TE","JAC",17,32,22,240,14.1,10.9,2,1,26,1.5,"3162867","CBS","17591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Raridon","TE","NE",17,32,22,241,14.2,11,2,1,26,1.5,"28924611","CBS","17607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Ruckert","TE","NYJ",17,36,27,196,11.5,7.3,2,0,24,1.4,"2965446","CBS","15796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tommy Tremble","TE","CAR",17,30,23,202,11.9,8.8,2,0,24,1.4,"2969027","CBS","15332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connor Heyward","FB","LV",17,19,14,102,6,7.3,2,0,23,1.4,"2867599","CBS","15800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hooper","TE","ATL",17,31,23,250,14.7,10.9,1,0,22,1.3,"2067004","CBS","12677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John Bates","TE","WAS",17,31,20,203,11.9,10.2,2,1,22,1.3,"2257291","CBS","15344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Adkins","TE","DEN",17,23,16,108,6.4,6.8,3,0,22,1.3,"2977285","CBS","16474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elijah Higgins","TE","ARI",17,28,23,221,13,9.6,1,1,19,1.1,"3122914","CBS","16333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Woerner","TE","ATL",17,29,23,196,11.5,8.5,1,0,18,1.1,"2248629","CBS","14984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitchell Evans","TE","CAR",17,22,16,143,8.4,8.9,2,0,18,1.1,"26693662","CBS","17109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ja'Tavion Sanders","TE","CAR",17,31,25,192,11.3,7.7,1,0,18,1.1,"26731381","CBS","16643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Hawes","TE","BUF",17,12,10,120,7.1,12,2,0,17,1,"3135324","CBS","17213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Sinnott","TE","WAS",17,13,11,122,7.2,11.1,2,0,17,1,"3168647","CBS","16644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foster Moreau","TE","HOU",17,15,11,132,7.8,12,2,0,17,1,"2180634","CBS","14239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grant Calcaterra","TE","PHI",13,23,17,175,13.5,10.3,1,0,15,1.2,"2804129","CBS","15804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Musgrave","TE","GB",12,24,18,178,14.8,9.9,1,0,14,1.2,"3129283","CBS","16215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Gray","TE","KC",17,23,15,138,8.1,9.2,1,0,12,0.7,"2866903","CBS","15337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Stover","TE","HOU",17,21,15,123,7.2,8.2,1,0,12,0.7,"3125978","CBS","16642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Schoonmaker","TE","DAL",17,23,15,133,7.8,8.9,1,0,11,0.6,"2968473","CBS","16221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jack Endries","TE","CIN",17,16,13,123,7.2,9.5,1,0,11,0.6,"28916552","CBS","17545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Max Klare","TE","LAR",17,15,11,127,7.5,11.6,1,0,11,0.6,"28921209","CBS","17547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bauer Sharp","TE","TB",17,14,11,113,6.6,10.3,1,0,10,0.6,"26730919","CBS","17660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brevyn Spann-Ford","TE","DAL",17,16,11,106,6.2,9.6,1,0,10,0.6,"2961760","CBS","16647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payne Durham","TE","TB",17,15,8,91,5.4,11.4,1,0,10,0.6,"2968469","CBS","16218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas Fidone II","TE","NYG",17,13,10,101,5.9,10.1,1,0,10,0.6,"26699695","CBS","17243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seydou Traore","TE","MIA",17,12,9,88,5.2,9.8,1,0,10,0.6,"26696643","CBS","17655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Long","TE","ARI",17,16,12,88,5.2,7.3,1,0,10,0.6,"2867428","CBS","15334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Roush","TE","CHI",17,13,10,111,6.5,11.1,1,0,10,0.6,"28877184","CBS","17549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jared Wiley","TE","KC",17,14,11,96,5.6,8.7,1,0,10,0.6,"3123819","CBS","16648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elijah Arroyo","TE","SEA",17,18,10,115,6.8,11.5,1,0,10,0.6,"26700496","CBS","17108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Joly","TE","MIA",17,12,9,88,5.2,9.8,1,0,10,0.6,"28927892","CBS","17548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Sample","TE","CIN",17,16,13,100,5.9,7.7,1,0,10,0.6,"2139646","CBS","14146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ian Thomas","TE","LV",17,10,10,87,5.1,8.7,1,0,10,0.6,"2253359","CBS","13678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Whyle","TE","GB",17,12,10,86,5.1,8.6,1,0,10,0.6,"2962513","CBS","16312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oscar Delp","TE","NO",17,15,11,115,6.8,10.5,1,0,10,0.6,"28873644","CBS","17567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Tonges","TE","SF",17,16,12,102,6,8.5,1,0,10,0.6,"2870660","CBS","16036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanner Koziol","TE","JAC",17,13,10,111,6.5,11.1,1,0,10,0.6,"28874303","CBS","17644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Cuevas","TE","BAL",17,11,8,97,5.7,12.1,1,0,10,0.6,"26706410","CBS","17651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallen Bentley","TE","DEN",17,15,12,104,6.1,8.7,1,0,10,0.6,"29164633","CBS","17699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Manhertz","TE","NYG",17,12,9,85,5,9.4,1,0,10,0.6,"2167520","CBS","12955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Hibner","TE","BAL",17,11,8,97,5.7,12.1,1,0,10,0.6,"3169490","CBS","17627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durham Smythe","TE","BAL",17,13,8,79,4.6,9.9,1,0,9,0.5,"2082845","CBS","13676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Ogletree","TE","IND",17,13,8,75,4.4,9.4,1,0,9,0.5,"26725942","CBS","15916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ko Kieft","TE","TB",17,10,8,81,4.8,10.1,1,0,9,0.5,"2239763","CBS","15929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kylen Granson","TE","TEN",17,17,10,83,4.9,8.3,1,0,9,0.5,"2247146","CBS","15419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Mallory","TE","IND",13,10,8,97,7.5,12.1,1,0,8,0.6,"2962073","CBS","16220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trey McBride","TE","ARI",NA,149,108,1023,NA,NA,5,NA,NA,NA,"4361307","ESPN","15794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Bowers","TE","LV",NA,136,99,999,NA,NA,7,NA,NA,NA,"4432665","ESPN","16641",4,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colston Loveland","TE","CHI",NA,119,81,901,NA,NA,6,NA,NA,NA,"4723086","ESPN","17104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Warren","TE","IND",NA,116,85,893,NA,NA,6,NA,NA,NA,"4431459","ESPN","17102",6,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harold Fannin Jr.","TE","CLE",NA,120,84,825,NA,NA,3,NA,NA,NA,"5083076","ESPN","17103",9,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Pitts Sr.","TE","ATL",NA,115,80,858,NA,NA,3,NA,NA,NA,"4360248","ESPN","15329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kittle","TE","SF",NA,97,77,828,NA,NA,6,NA,NA,NA,"3040151","ESPN","13299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam LaPorta","TE","DET",NA,102,78,787,NA,NA,5,NA,NA,NA,"4430027","ESPN","16214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker Kraft","TE","GB",NA,95,68,777,NA,NA,4,NA,NA,NA,"4572680","ESPN","16222",2,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE","KCC",NA,103,74,770,NA,NA,4,NA,NA,NA,"15847","ESPN","11244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas Goedert","TE","PHI",NA,93,71,725,NA,NA,6,NA,NA,NA,"3121023","ESPN","13674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Ferguson","TE","DAL",NA,96,73,598,NA,NA,6,NA,NA,NA,"4242355","ESPN","15799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Likely","TE","NYG",NA,86,63,682,NA,NA,4,NA,NA,NA,"4361050","ESPN","15798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Andrews","TE","BAL",NA,84,58,617,NA,NA,7,NA,NA,NA,"3116365","ESPN","13671",10,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Kincaid","TE","BUF",NA,82,59,698,NA,NA,4,NA,NA,NA,"4385690","ESPN","16213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juwan Johnson","TE","NO",NA,89,65,661,NA,NA,3,NA,NA,NA,"3929645","ESPN","14861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Henry","TE","NE",NA,78,56,629,NA,NA,5,NA,NA,NA,"3046439","ESPN","12676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Hockenson","TE","MIN",NA,99,78,640,NA,NA,3,NA,NA,NA,"4036133","ESPN","14138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrance Ferguson","TE","LAR",NA,73,46,579,NA,NA,5,NA,NA,NA,"4570037","ESPN","17107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenyon Sadiq","TE","NYJ",NA,81,60,622,NA,NA,4,NA,NA,NA,"5083315","ESPN","17543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brenton Strange","TE","JAC",NA,85,59,599,NA,NA,4,NA,NA,NA,"4430539","ESPN","16269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Freiermuth","TE","PIT",NA,85,60,603,NA,NA,3,NA,NA,NA,"4361411","ESPN","15331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Schultz","TE","HOU",NA,82,60,549,NA,NA,3,NA,NA,NA,"3117256","ESPN","13772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gunnar Helm","TE","TEN",NA,77,58,499,NA,NA,3,NA,NA,NA,"4686728","ESPN","17105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chig Okonkwo","TE","WAS",NA,72,51,559,NA,NA,2,NA,NA,NA,"4360635","ESPN","15889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJ Barner","TE","SEA",NA,60,45,433,NA,NA,4,NA,NA,NA,"4576297","ESPN","16723",9,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Dulcich","TE","MIA",NA,75,52,581,NA,NA,2,NA,NA,NA,"4367209","ESPN","15797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren Waller","TE","CAR",NA,62,43,473,NA,NA,4,NA,NA,NA,"2576925","ESPN","12263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Otton","TE","TB",NA,64,45,440,NA,NA,2,NA,NA,NA,"4243331","ESPN","15802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Engram","TE","DEN",NA,68,47,464,NA,NA,2,NA,NA,NA,"3051876","ESPN","13189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Njoku","TE","LAC",NA,58,40,417,NA,NA,4,NA,NA,NA,"3123076","ESPN","13192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
