"player","pos","team","games","rush_att","rush_yds","rush_avg","rush_tds","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_09_tds","rush_1019_tds","rush_2029_tds","rush_3039_tds","rush_4049_tds","rush_50_tds","rush_50_yds","rush_100_yds","rec_rz_tgt","rec_50_yds","rec_100_yds","return_yds","scoring_opp","bye"
"Kyren Williams","RB","LAR",NA,236,1070,NA,10,45,33,223,NA,NA,2,NA,NA,NA,"4430737","ESPN","15710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Etienne Jr.","RB","NO",NA,263,1141,NA,6,61,45,389,NA,NA,2,NA,NA,NA,"4239996","ESPN","15253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinshon Judkins","RB","CLE",NA,318,1246,NA,7,42,32,222,NA,NA,1,NA,NA,NA,"4685702","ESPN","17051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cam Skattebo","RB","NYG",NA,241,1012,NA,7,56,45,332,NA,NA,1,NA,NA,NA,"4696981","ESPN","17045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D'Andre Swift","RB","CHI",NA,216,980,NA,8,42,31,270,NA,NA,1,NA,NA,NA,"4259545","ESPN","14797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhayshul Tuten","RB","JAC",NA,237,995,NA,7,46,34,252,NA,NA,1,NA,NA,NA,"4882093","ESPN","17052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bucky Irving","RB","TB",NA,244,991,NA,5,45,37,294,NA,NA,2,NA,NA,NA,"4596448","ESPN","16598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Montgomery","RB","HOU",NA,227,985,NA,7,38,32,228,NA,NA,1,NA,NA,NA,"4035538","ESPN","14071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jadarian Price","RB","SEA",NA,223,923,NA,8,35,27,212,NA,NA,1,NA,NA,NA,"4685512","ESPN","17473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TreVeyon Henderson","RB","NE",NA,191,839,NA,7,47,39,269,NA,NA,1,NA,NA,NA,"4432710","ESPN","17043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhamondre Stevenson","RB","NE",NA,174,742,NA,7,52,42,350,NA,NA,2,NA,NA,NA,"4569173","ESPN","15259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Pollard","RB","TEN",NA,239,1043,NA,5,39,30,182,NA,NA,0,NA,NA,NA,"3916148","ESPN","14085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaylen Warren","RB","PIT",NA,184,809,NA,5,57,46,320,NA,NA,1,NA,NA,NA,"4569987","ESPN","15742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenny Gainwell","RB","TB",NA,118,521,NA,5,64,52,342,NA,NA,2,NA,NA,NA,"4371733","ESPN","15255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Jacobs","RB","GB",NA,175,719,NA,8,31,24,183,NA,NA,1,NA,NA,NA,"4047365","ESPN","14073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathon Brooks","RB","CAR",NA,194,817,NA,4,47,37,279,NA,NA,1,NA,NA,NA,"4678008","ESPN","16597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MarShawn Lloyd","RB","GB",NA,145,621,NA,5,27,21,148,NA,NA,1,NA,NA,NA,"4429023","ESPN","16604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rico Dowdle","RB","PIT",NA,227,993,NA,6,40,29,211,NA,NA,1,NA,NA,NA,"4038815","ESPN","14823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chuba Hubbard","RB","CAR",NA,190,765,NA,4,52,41,300,NA,NA,1,NA,NA,NA,"4241416","ESPN","15261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Jones Sr.","RB","MIN",NA,150,654,NA,3,61,47,345,NA,NA,2,NA,NA,NA,"3042519","ESPN","13319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rachaad White","RB","WAS",NA,135,567,NA,5,46,40,266,NA,NA,2,NA,NA,NA,"4697815","ESPN","15721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.K. Dobbins","RB","DEN",NA,205,958,NA,7,28,21,132,NA,NA,1,NA,NA,NA,"4241985","ESPN","14800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Monangai","RB","CHI",NA,189,813,NA,6,36,26,216,NA,NA,1,NA,NA,NA,"4608686","ESPN","17066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RJ Harvey","RB","DEN",NA,78,316,NA,3,62,49,367,NA,NA,3,NA,NA,NA,"4568490","ESPN","17068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blake Corum","RB","LAR",NA,182,837,NA,7,22,17,117,NA,NA,1,NA,NA,NA,"4429096","ESPN","16593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacory Croskey-Merritt","RB","WAS",NA,196,846,NA,7,21,16,119,NA,NA,1,NA,NA,NA,"4575131","ESPN","17256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyjae Spears","RB","TEN",NA,105,446,NA,3,61,50,336,NA,NA,2,NA,NA,NA,"4428557","ESPN","16165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Mason","RB","MIN",NA,195,902,NA,7,17,13,84,NA,NA,0,NA,NA,NA,"4360569","ESPN","15972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woody Marks","RB","HOU",NA,151,614,NA,3,33,24,199,NA,NA,1,NA,NA,NA,"4429059","ESPN","17053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach Charbonnet","RB","SEA",NA,137,555,NA,7,26,20,145,NA,NA,0,NA,NA,NA,"4426385","ESPN","16169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonah Coleman","RB","DEN",NA,66,272,NA,2,23,17,126,NA,NA,1,NA,NA,NA,"4702555","ESPN","17477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isiah Pacheco","RB","DET",NA,88,381,NA,3,11,9,60,NA,NA,0,NA,NA,NA,"4361529","ESPN","15749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Rodriguez Jr.","RB","JAC",NA,101,433,NA,3,6,4,31,NA,NA,0,NA,NA,NA,"4362619","ESPN","16174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvin Kamara","RB","NO",NA,112,451,NA,2,38,31,208,NA,NA,1,NA,NA,NA,"3054850","ESPN","13132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Allgeier","RB","ARI",NA,99,391,NA,3,23,18,128,NA,NA,0,NA,NA,NA,"4373626","ESPN","15712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Washington Jr.","RB","LV",NA,89,368,NA,2,12,9,64,NA,NA,0,NA,NA,NA,"4686658","ESPN","17482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dylan Sampson","RB","CLE",NA,57,236,NA,1,36,30,208,NA,NA,1,NA,NA,NA,"5081397","ESPN","17047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keaton Mitchell","RB","LAC",NA,83,393,NA,2,27,20,157,NA,NA,1,NA,NA,NA,"4596334","ESPN","16178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samaje Perine","RB","CIN",NA,101,440,NA,3,23,19,139,NA,NA,1,NA,NA,NA,"3116389","ESPN","13133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian Robinson Jr.","RB","ATL",NA,135,560,NA,4,11,9,59,NA,NA,0,NA,NA,NA,"4241474","ESPN","15716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Braelon Allen","RB","NYJ",NA,82,348,NA,3,16,13,90,NA,NA,0,NA,NA,NA,"4685247","ESPN","16596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tank Bigsby","RB","PHI",NA,83,372,NA,3,5,4,29,NA,NA,0,NA,NA,NA,"4429013","ESPN","16164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ray Davis","RB","BUF",NA,32,138,NA,1,10,8,60,NA,NA,0,NA,NA,NA,"4429501","ESPN","16603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Najee Harris","RB","NYG",NA,107,432,NA,2,15,12,76,NA,NA,0,NA,NA,NA,"4241457","ESPN","15254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justice Hill","RB","BAL",NA,59,268,NA,2,51,39,348,NA,NA,2,NA,NA,NA,"4038441","ESPN","14086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaelon Black","RB","SF",NA,75,311,NA,2,11,8,62,NA,NA,0,NA,NA,NA,"4696044","ESPN","17485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kimani Vidal","RB","LAC",NA,33,136,NA,1,11,8,63,NA,NA,0,NA,NA,NA,"4430968","ESPN","16757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaylen Wright","RB","MIA",NA,60,252,NA,1,10,7,56,NA,NA,0,NA,NA,NA,"4682745","ESPN","16610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ollie Gordon II","RB","MIA",NA,47,195,NA,1,5,4,28,NA,NA,0,NA,NA,NA,"4711533","ESPN","17059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ty Johnson","RB","BUF",NA,51,220,NA,2,31,22,208,NA,NA,1,NA,NA,NA,"3915411","ESPN","14095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Brooks","RB","GB",NA,53,234,NA,2,25,19,137,NA,NA,1,NA,NA,NA,"3149687","ESPN","16387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brashard Smith","RB","KCC",NA,41,175,NA,1,22,16,121,NA,NA,1,NA,NA,NA,"4596602","ESPN","17049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malik Davis","RB","DAL",NA,67,290,NA,2,11,8,59,NA,NA,0,NA,NA,NA,"4240603","ESPN","15738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emmett Johnson","RB","KCC",NA,62,258,NA,2,11,8,59,NA,NA,0,NA,NA,NA,"4832955","ESPN","17474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Davis","RB","NYJ",NA,39,178,NA,1,16,13,96,NA,NA,0,NA,NA,NA,"4695404","ESPN","16752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacob Saylors","RB","DET",NA,51,220,NA,2,9,7,48,NA,NA,0,NA,NA,NA,"4383429","ESPN","16850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LeQuint Allen Jr.","RB","JAC",NA,8,32,NA,0,27,20,140,NA,NA,1,NA,NA,NA,"4911851","ESPN","17061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
