avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,12437,K,164.77162749339,14.7982265571242,FALSE,0.12268467844342,143.921667884154,184.68340861188,0.12268467844342,-2.3258321158458,7.81534616268146,60,69,49,2,1,NA,NA,Jason,Myers,SEA,K,35,6,200.71,4.96,1.37,202.36,ADP.tsv,132.554,22.0949,ADP.tsv,18.3360143979001,-72.554,2.084,0.799704945589309,2982,202.36,127,254,317
robust,15979,K,164.648942814946,2.51578976342384,FALSE,1.78746254962797,146.2475,168.766367108382,0,0,-8.10169534081643,61,61,77,3,1,NA,NA,Cameron,Dicker,LAC,K,26,-2,194.41,3.12,1.34,199.49,ADP.tsv,136.874,21.9209,ADP.tsv,10.1399084808493,-75.874,2.4385,0.853444052061997,2980,199.49,123,249,317
robust,12860,K,162.861480265319,9.5766225480923,FALSE,9.12824296758387,155.248458213256,176.868062449198,-1.78746254962797,9.0009582132565,0,64,43,61,4,2,NA,NA,Ka'imi,Fairbairn,HOU,K,32,4,192.02,3.06,2.38,185.81,ADP.tsv,129.186,20.5291,ADP.tsv,13.4331881547159,-65.186,2.267,0.879014789409143,4345,185.81,119,237,317
robust,16843,K,153.733237297735,4.14054998237865,FALSE,2.44424414587706,125.67982920712,159.164273300971,-10.9157055172118,-20.5676707928803,-17.7037891482274,86,117,105,5,2,NA,NA,Harrison,Mevis,LAR,K,24,-4,233.75,11.19,3.84,224.33,ADP.tsv,151.614,23.8749,ADP.tsv,15.7644087741976,-65.614,1.9525,1.0937864279648,2983,224.33,148,285,312
robust,14717,K,151.288993151858,3.15384872978937,FALSE,1.8367872806995,128.199114483821,158.209670493066,-13.3599496630889,-18.0483855161787,-18.658391956132,91,109,110,6,2,NA,NA,Chase,McLaughlin,TBB,K,30,1,230.93,11.49,3.19,256.73,ADP.tsv,162.102,22.8748,ADP.tsv,18.0303692696517,-71.102,1.087,0.643977484078442,2984,256.73,164,290,214
robust,13719,K,149.452205871158,1.4826,FALSE,0.0522058711580655,125.136117470739,151.201558093063,-15.1967369437884,-21.1113825292606,-25.6665043561352,99,118,131,7,2,NA,NA,Eddy,Pineiro,SFO,K,31,2,211.79,8,2.95,227.02,ADP.tsv,162.8575,21.8061,ADP.tsv,12.8196302111254,-63.8575,1.40266666666667,0.400084435532746,2981,227.02,148,273,309
robust,16681,K,149.4,8.07868326196172,FALSE,0.724110251450696,141.146607256778,158.998290271132,-15.2489428149465,-5.10089274322169,-17.8697721780659,100,75,106,8,2,NA,NA,Will,Reichard,MIN,K,25,-4,252.18,14.55,4.45,230.38,ADP.tsv,168.905,24.7554,ADP.tsv,14.8738201212735,-68.905,1.42133333333333,0.893743189562242,2972,230.38,140,281,291
robust,13354,K,148.675889748549,5.03359045880079,FALSE,0.362285909395553,131.899683881367,156.982400386847,-15.9730530663972,-14.3478161186331,-19.885662062351,102,99,112,9,3,NA,NA,Harrison,Butker,KCC,K,31,3,247.68,14.07,2.59,263.53,ADP.tsv,156.534,28.8565,ADP.tsv,17.816811836016,-54.534,1.686,0.773400284458184,2970,263.53,145,300,171
robust,16846,K,148.313603839154,11.473877308751,FALSE,0.937660926070748,127.402802275755,161.691987066198,-16.3353389757927,-18.8446977242449,-15.1760753830004,103,111,99,10,3,NA,NA,Jake,Bates,DET,K,27,-3,224.18,10.13,3.05,236.74,ADP.tsv,149.986,26.1021,ADP.tsv,12.7014795988499,-46.986,1.687,0.805671769394957,2966,236.74,145,293,279
robust,12956,K,147.375942913083,3.68006868698975,FALSE,0.407928102992315,120.055977165233,150.832895198937,-17.2729999018635,-26.1915228347668,-26.0351672502611,107,130,134,11,3,NA,NA,Wil,Lutz,DEN,K,32,4,265.48,15.82,2.44,271.47,ADP.tsv,170.88,28.0032,ADP.tsv,13.5594524225722,-63.88,1.358,1.258,2965,271.47,162,309,140
robust,11945,K,146.968014810091,8.15121125,FALSE,0.788359637676905,129.935907738095,160.719901147959,-17.6809280048558,-16.3115922619048,-16.1481613012391,110,106,101,12,3,NA,NA,Cairo,Santos,CHI,K,35,6,223.29,11.42,2.79,267.53,ADP.tsv,175.8,25.8708,ADP.tsv,16.3764480275791,-65.8,1.1,0.7,2961,267.53,163,300,151
robust,16680,K,146.179655172414,11.7634596413793,FALSE,0.186655172413793,123.071359386973,160.327391570881,-18.4692876425327,-23.1761406130268,-16.540670878317,115,124,103,13,3,NA,NA,Cam,Little,JAC,K,23,-4,198.53,4.81,2.18,205.2,ADP.tsv,143.978,23.3127,ADP.tsv,10.5372603650095,-28.978,1.9835,0.82110702712862,2969,205.2,128,262,317
robust,17222,K,145.993,13.4056574639558,FALSE,0.793614563712595,115.449966363045,163.930236152678,-18.6559428149465,-30.7975336369551,-12.9378262965199,117,138,91,14,3,NA,NA,Tyler,Loop,BAL,K,25,-5,213.7,8.91,3.65,254.84,ADP.tsv,164.765,25.5999,ADP.tsv,9.58084677886042,-47.765,1.366,0.471528012600171,2958,254.84,158,300,228
robust,16896,K,145.199385436287,16.1500079123622,FALSE,4.11239410680764,62.6724002483146,162.904667600741,-19.4495573786591,-83.5750997516855,-13.9633948484572,120,224,95,15,3,NA,NA,Spencer,Shrader,IND,K,27,-4,275.6,23.53,6.91,257.64,ADP.tsv,150.04,27.1797,ADP.tsv,NA,-30.04,0,NA,2968,257.64,156,304,193
robust,14983,K,141.08699132948,4.41421208923965,FALSE,1.20363556084001,111.7384,144.900574507188,-23.5619514854667,-34.5091,-31.9674879420099,130,146,151,16,4,NA,NA,Tyler,Bass,BUF,K,29,0,283.68,18.3,3.93,282.1,ADP.tsv,179.47,20.9711,ADP.tsv,12.9,-49.47,1.334,1.234,2959,282.1,225,329,87
robust,17668,K,139.88335576864,2.58136911582766,FALSE,2.37838395292158,101.7722,158.229684520663,-24.7655870463067,-44.4753,-18.6383779285352,134,166,109,17,4,NA,NA,Trey,Smack,GBP,K,23,-6,282.55,19.96,5.03,275.61,ADP.tsv,166.315,33.3633,ADP.tsv,22.0738867216447,-32.315,1.242,0.852110321495991,2967,275.61,145,317,120
robust,13718,K,137.504971815718,4.4478,FALSE,0.309531454839231,105.453788726287,142.809211707317,-27.1439709992283,-40.7937112737127,-34.0588507418812,141,162,158,18,4,NA,NA,Daniel,Carlson,NOS,K,31,2,277.1,24.07,5.08,278.12,ADP.tsv,NA,30.8381,ADP.tsv,NA,NA,0,NA,2974,278.12,159,316,108
robust,15368,K,137.195440360879,1.73897942766371,FALSE,0.36923738833525,111.009606442686,150.950169701666,-27.4535024540675,-35.2378935573145,-25.9178927475322,142,149,133,19,4,NA,NA,Evan,McPherson,CIN,K,27,-1,218.02,10.72,3.66,261.31,ADP.tsv,170.985,29.2446,ADP.tsv,14.2351194234541,-28.985,1.184,0.888132122303133,2962,261.31,155,313,180
